"NOMBRE DEL ATM";"CAMBIOS BASE";"SITE DIEBOLD";"COD DEL CAJERO";"DIRECCION DEL ATM";"TERRITORIAL";"ZONA";"CAJEROS VIP";"CIUDAD";"Código Municipal DANE";"Nombre del  Departamento";"CODIGO DE LA OFICINA";"NOMBRE DE   LA OFICINA";"DIRECCION DE LA OFICINA";"TELEFONO DE LA OFICINA";"PROVEEDOR DE MONITOREO";"MARCA";"MODELO";"TIPO DE PROCESADOR DIEBOLD";"SERIAL  Wincor   Diebold ";"CODIGO DE ACTIVO FIJO";"CARGA";"NIVEL DE PROVISION";"UBICACIÓN ESPECIFICA";"SITE TOPPER";"SEGMENTO";"TIPO DE UBICACIÓN";"TRANSACCIONALIDAD L V";"TRANSACCIONALIDAD FINES DE SEMANA";"PROTECTOR DE TECLADO";"FECHA DE MAQUINA";"FECHA DE ENTRADA EN PRODUCCION EN EL PUNTO";"AÑOS DE LOS CAJEROS";"FECHA DE ENTREGA DE MAQUINA A PUNTO";"TIPO DE ENLACE";"MEDIO PRINCIPAL";"MEDIO DE CONTINGENCIA";"IP";"Gateway";"MASCARA DE RED";"MODULO TELDAT";"PROVEEDOR COMUNICACIONES";"PU";"IDNUM";"DEPOSITARIOS ACTIVOS EFECTIVO";"DEPOSITARIOS ACTIVOS CHEQUE";"TRANSPORTADORA";"CLASIFICACION TDV";"FONDO DE EFECTIVO";"RUTA NOCTURNA";"PRIMER NIVEL";"SEGUNDO NIVEL";"Días de Aseo COLVAPOR";"Fecha Cargue RKL 1";"CUPO DEPOSITARIO";"Nro  Gavetas";"TIPO DE BILLETE";"CUPO AUTORIZADO";"GAVETA 1";"GAVETA 2";"GAVETA 3";"GAVETA 4";"GAVETA 5";"BILLETES DE 50 000   20 000";"BILLETES DE 50 000   20 000   10 000";"ANTISKIMING";"CONFIGURACION ATM";"DIAS DE SERVICIO";"HORARIO DE APERTURA";"HORARIO  DE CIERRE";"HORARIO DE SERVICIO";"METODO CIERRE CONSOLA";"LLAVES";"LLAVE DE SEGURIDAD";"LLAVES SITE 1";"LLAVES SITE 2";"MARCA UPS";"CAPACIDAD UPS";"Medio";"MONITOREO DE ALARMAS";"Proveedor de Vigilancia";"APOYO AL NEGOCIO";"CELULAR";"GERENTE PROMOTOR TRANSACCIONAL";"CONTACTO EN EL PUNTO";"NOMBRE";"TELEFONO";"DIRECCION O CORREO";"GERENTE";"CORREO";"CEL";"SUBGERENTE";"CORREO2";"CEL__1";"CORREO OFICINA";"PAGO DE NOMINAS";"INGRESO TDV";"INGRESO PROVEEDORES";"ANTELACIÓN PARA TRAMITAR PERMISOS";"OBSERVACIONES PARA TRAMITES DE PERMISOS";"ENVIO DATOS DE PROOVEDORES";"FECHA DEL ULTIMO ENVIO";"INGRESO PROVEEDORES DIAS";"INGRESO PROVEEDORES HORAS";"ENVIO DE CORREO";"ANTELACION PARA TRAMITAR PERMISOS";"MULTIVENDOR";"zipcode";"lat";"lon";"total_otros_ATMs"
"Modelia 2";NA;"321";888;"CLL 39 76A-45";"BOGOTÁ";"Bogota Occidente";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";346;"MODELIA";"Avenida 24 No. 74 A 59";"4298866-4298870-4298867-4298869";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00098";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"SITE";"REMOTO NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"08/02/2018";"09/05/2018";1;"43224";"COMPARTIDO";"FIBRA";"COBRE";"81.128.68.99";"81.128.68.97";"255.255.255.240";"NO APLICA";"TELEFONICA";"9M2";"3462";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43229";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"SYMETRA";"8 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"OFICINA";"0";"0";"0";"IVAN FERNANDO MORA PEREZ";"IVAN.PEREZ@BBVA.COM.CO";"3212422035-3158317642";"WILLIAM JOSE SANCHEZ CEPEDA";"williamjose.sanchez@bbva.com";"3157637174";"MODEL346.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,6270882;-74,0711753;16
"Molinos II";NA;"136";1254;"LOS MOLINOS";"OCCIDENTE";"Medellin Sur";"N/A";"MEDELLÍN";"05 - 001";"Antioquia";276;"MOLINOS";"Sector Bellen Kra 82 N° 30A-24 Loc 2061-2065.";"2354838";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522VDC07544";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"13/03/2013";"27/03/2013";6;"N/A";"COMPARTIDO";"COBRE";"RADIO";"81.128.68.35";"81.128.68.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"7O3";"2763";"N/A";"N/A";"PROSEGUR";"URBANO";"MEDELLIN";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"41360";"N/A";5;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"20000";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";"Medeco";"Medeco";NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"JUAN FERNANDO ECHANDIA BUSTAMANTE";"juanfernando.echandia@bbva.com";"3175387001";"DORNER LEON-
JUAN CARLOS ECHEVERRY
";"dorner.leon@bbva.com-juan.echeverri@bbva.com";"3165266580";"MOLINOS276.co@bbva.com";NA;"L - D INGRESO A PARTIR DE LAS 8:30 HASTA 20:00";"LUNES A SABADO DESDE LAS  08:00 AM";"N/A";"N/A";"CORREO BANCO";"N/A";"Lun - Sab";"08:00 - 20:00";"SI";"SIN ANTELACION";"Activo";"50026";6,2329665;-75,6044373;12
"Mompos 1";NA;"322";171;"CRA 2 18-02";"NORTE";"Caribe Medio";"N/A";"MOMPÓS";"13 - 468";"Bolívar";604;"MOMPOS";"CARRERA 2 No. 18-02";"6850207";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00187";"PENDIENTE";"POSTERIOR";"NIVEL 4";"Oficina";"PENDIENTE";"REMOTO NIVEL 4";"EO";"MEDIA";"ALTA";"SI";"07/09/2018";"24/10/2018";0;"43385";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.84.34";"81.128.84.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"GS1";"6041";"N/A";"N/A";"OFICINA";"N/A";"AGUACHICA";"NO";"OFICINA";"DIEBOLD";"SAB-DOM-FES";"43396";"N/A";4;"MIXTO";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE2";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"OFICINA";"N/A";NA;NA;NA;NA;"ETH";"CGA";NA;"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"FERNANDO DE JESUS ORTIZ GARCIA";"fernandodej.ortiz@bbva.com";"3162919494";"LUZ ENITH GOMEZ DURAN";"LUZENITH.GOMEZ@BBVA.COM";"3162424996";"MOMPO604.co@bbva.com";NA;"OFICINA";"LUNES A VIERNES apertura del cofre antes de las 9:00  o después de las 16:00 Ingreso a otras revisiones de 8:30 a 19:00  EN HORARIO DE 12:00 A 14:00 NO SE PERMITE INGRESOS";"N/A";"N/A";"INTRANET";"N/A";"Lun - Vie";"09:00 - 19:00";"NO";"SIN ANTELACION";"N/A";NA;9,2411126;-74,4247298;17
"Mompos II";NA;"322";1163;"CRA 2 18-02";"NORTE";"Caribe Medio";"N/A";"MOMPÓS";"13 - 468";"Bolívar";604;"MOMPOS";"CARRERA 2 No. 18-02";"6850207";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522VDC03768";"1,30E+11";"FRONTAL";"NIVEL 4";"Oficina";"PENDIENTE";"REMOTO NIVEL 4";"EO";"MEDIA";"ALTA";"SI";"25/11/2011";"22/12/2011";7;"N/A";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.84.35";"81.128.84.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"GS2";"6042";"N/A";"N/A";"OFICINA";"N/A";"AGUACHICA";"NO";"OFICINA";"DIEBOLD";"SAB-DOM-FES";"40932";"N/A";5;"MIXTO";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"OFICINA";"MEDECO";"Cargue Frontal";"N/A";NA;NA;NA;NA;NA;"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"FERNANDO DE JESUS ORTIZ GARCIA";"fernandodej.ortiz@bbva.com";"3162919494";"LUZ ENITH GOMEZ DURAN";"LUZENITH.GOMEZ@BBVA.COM";"3162424996";"MOMPO604.co@bbva.com";NA;"OFICINA";"LUNES A VIERNES apertura del cofre antes de las 9:00  o despues de las 16:00 Ingreso a otras revisiones de 8:30 a 19:00  EN HORARIO DE 12:00 A 14:00 NO SE PERMITE INGRESOS";"N/A";"N/A";"INTRANET";"N/A";"Lun - Vie";"08:30 - 19:00";"NO";"SIN ANTELACION";"N/A";NA;9,2411126;-74,4247298;17
"Montería";NA;"607";760;"CLLE 30 NO 1-11 20";"NORTE";"Caribe Medio";"VIP";"MONTERÍA";"23 - 001";"Córdoba";470;"CALLE 30";"CALLE 30 No. 1-11";"7815548-7826813";"DIEBOLD";"DIEBOLD";"OPTEVA 720  FULL FUNCTION";"Sierra";"1720VH101630";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"08/11/2010";"22/11/2010";8;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.80.34";"81.128.80.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"D21";"4701";"ACTIVO";"NO ACTIVO";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40907";"50000000";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"6 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"ELIANA LUCIA PEREZ GOMEZ";"eliana.perez@bbva.com";"3188832309";"BERNARDO PADILLA";"bernando.padilla@bbva.com";"3164620753";"CAL30470.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";NA;8,758085;-75,8866314;16
"Montería 1";NA;"324";37;"CRA 3 31-06";"NORTE";"Caribe Medio";"N/A";"MONTERÍA";"23 - 001";"Córdoba";612;"MONTERIA";"CARRERA 3 No. 31-06";"7822353-7822698";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100121";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"11/07/2017";2;"42923";"COMPARTIDO";"FIBRA";"COBRE";"81.128.84.66";"81.128.84.65";"255.255.255.240";"NO APLICA";"TELEFONICA";"H01";"6121";"N/A";"N/A";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42926";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LUCY RIVAS TORDECILLA";"lucy.rivas@bbva.com";"3174351881";"YANETH ACUÑA";"yaneth.acuna@bbva.com";"3162582698";"MONTE612.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;8,7575736;-75,8850829;17
"Montería 2";NA;"605";370;"CARRERA 3 31-06";"NORTE";"Caribe Medio";"VIP";"MONTERÍA";"23 - 001";"Córdoba";612;"MONTERIA";"CARRERA 3 No. 31-06";"7822353-7822698";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100106";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"11/07/2017";2;"42923";"COMPARTIDO";"FIBRA";"COBRE";"81.128.84.67";"81.128.84.65";"255.255.255.240";"NO APLICA";"TELEFONICA";"H02";"6122";"N/A";"N/A";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42926";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LUCY RIVAS TORDECILLA";"lucy.rivas@bbva.com";"3174351881";"YANETH ACUÑA";"yaneth.acuna@bbva.com";"3162582698";"MONTE612.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;8,7575736;-75,8850829;17
"Montería 3";NA;"324";112;"CRA 3 31-06";"NORTE";"Caribe Medio";"N/A";"MONTERÍA";"23 - 001";"Córdoba";612;"MONTERIA";"CARRERA 3 No. 31-06";"7822353-7822698";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100119";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"11/07/2017";2;"42923";"COMPARTIDO";"FIBRA";"COBRE";"81.128.84.68";"81.128.84.65";"255.255.255.240";"NO APLICA";"TELEFONICA";"H04";"4821";"N/A";"N/A";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42926";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LUCY RIVAS TORDECILLA";"lucy.rivas@bbva.com";"3174351881";"YANETH ACUÑA";"yaneth.acuna@bbva.com";"3162582698";"MONTE612.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;8,7575736;-75,8850829;17
"Montería II";NA;"323";761;"CLLE 30 NO 1-11 20";"NORTE";"Caribe Medio";"N/A";"MONTERÍA";"23 - 001";"Córdoba";470;"CALLE 30";"CALLE 30 No. 1-11";"7815548-7826813";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100015";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"23/08/2017";2;"42966";"COMPARTIDO";"FIBRA";"COBRE";"81.128.80.35";"81.128.80.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"D22";"4702";"N/A";"N/A";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42969";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"6 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"ELIANA LUCIA PEREZ GOMEZ";"eliana.perez@bbva.com";"3188832309";"BERNARDO PADILLA";"bernando.padilla@bbva.com";"3164620753";"CAL30470.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;8,758085;-75,8866314;16
"Mosquera";NA;"325";645;"CALLE 3 NO. 1-39";"CENTRO";"Altiplano";"N/A";"MOSQUERA";"25 - 473";"Cundinamarca";344;"MOSQUERA";"Calle 3 No. 1-39";"(091) 8276982-8276983";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100086";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"27/09/2017";2;"43000";"COMPARTIDO";"FIBRA";"COBRE";"81.128.72.162";"81.128.72.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"9K3";"3443";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43003";"N/A";4;"MIXTO";280000000;50000;50000;20000;10000;"N/A";"N/A";"SI";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO - LAMINA";NA;NA;"POWERTRON";"6 KVA";"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"OFICINA";"0";"0";"0";"OMAR IVAN GOMEZ ROJAS";"omarivan.gomez@bbva.com";"316 421 5172";"JACQUELINE NIETO DEVIA";"JACQUELINE.NIETO@BBVA.COM";"317 404 6607";"MOSQU344.co@bbva.com";NA;"SOLICITUD PARA EL MISMO DIA 
ANTES DE LAS 12:00";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,7046849;-74,2294423;12
"Mosquera II";NA;"325";646;"CALLE 3 NO. 1-39";"CENTRO";"Altiplano";"N/A";"MOSQUERA";"25 - 473";"Cundinamarca";344;"MOSQUERA";"Calle 3 No. 1-39";"(091) 8276982-8276983";"DIEBOLD";"DIEBOLD";"OPTEVA 760";"Canyon";"1760R3315674";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"27/06/2008";"18/12/2008";11;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.72.163";"81.128.72.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"9K4";"3444";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40900";"N/A";4;"MIXTO";280000000;50000;50000;20000;10000;"N/A";"N/A";"SI";"INSTALADO";"DIE7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"OFICINA";"0";"0";"0";"OMAR IVAN GOMEZ ROJAS";"omarivan.gomez@bbva.com";"316 421 5172";"JACQUELINE NIETO DEVIA";"JACQUELINE.NIETO@BBVA.COM";"317 404 6607";"MOSQU344.co@bbva.com";NA;"SOLICITUD PARA EL MISMO DIA 
ANTES DE LAS 12:00";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";NA;4,7046849;-74,2294423;12
"Móvil";NA;"902";935;"SUJETO A CRONOGRAMA DE ACTIVIDAD";"BOGOTÁ";"Bogotá Norte";"VIP";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";777;"GENTE BBVA";"Carrera 9 No. 72 -21";"3438315";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Denver";"1522FGR01180";"1,30E+11";"FRONTAL";"NIVEL 7";"Empresa";"PENDIENTE";"NOMINA";"SAT";"ALTA";"ALTA";"SI";"19/07/2010";"30/07/2010";9;"N/A";"INDEPENDIENTE";"3G";"3G";"81.128.3.34";"81.128.3.33";"255.255.255.240";"SI APLICA";"TELEFONICA";"LL3";"7773";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"NO REQUIERE ASEO EL ASEO LO REALIZAN LAS SEÑORAS DE SERV GENERALES";"40914";"N/A";4;"NUEVA FAMILIA";50000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";"Cargue Frontal";"N/A";NA;NA;"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"OFICINA";"0";"0";"0";"Viviana Vélez";"viviana.velez@bbva.com";"3164822756";"Diana Janneth Porras Beltran";"diana.porras@bbva.com";"3174015503";"GENTE777.co@bbva.com";NA;"SEGÚN PROGRAMACION";"SIN RESTRICCION";"N/A";"N/A";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"SIN ANTELACION";"N/A";NA;4,7109886;-74,072092;16
"Multicentro Ibagué";NA;"326";908;"CRA 5 CALLE 62 CTR CIA";"CENTRO";"Centro Occidente";"VIP";"IBAGUÉ";"73 - 001";"Tolima";362;"PARQUE MURILLO";"Calle 11 No. 3 A 08";"(098) 2610207-2617258-2631022-2615748";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100080";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"ALTA";"ALTA";"SI";"30/09/2016";"23/08/2017";2;"42964";"INDEPENDIENTE";"COBRE";"3G";"81.128.28.2";"81.128.28.1";"255.255.255.240";"SI APLICA";"TELEFONICA";"A2TB";"362B";"N/A";"N/A";"PROSEGUR";"URBANO";"IBAGUE";"NO";"DIEBOLD";"DIEBOLD";"LUNES  A DOMINGO";"42970";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO - LAMINA";NA;NA;"WESTON";"2 KVA";"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"SEGURIDAD DEL PUNTO";"0";"2743366 - 2740966";"asistentegerencia@multicentroibague.com-direccionoperativa@multicentroibague.com-gerencia@multicentroibague.com";"LUIS CARLOS VARGAS SOLANO";"luiscarlos.vargas@bbva.com";"318 883 2196";"ARACELLY YARA ACOSTA";"aracely.yara@bbva.com";"316 528 1156";"PQMUR362.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"24 HORAS";"UN DÍA DE ANTELACION DE LUNES A VIERNES ANTES DE LAS 5:30 PM.";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"Activo";NA;4,4389316;-75,1858484;4
"Municipio De Itagüí";NA;"329";719;"Carrera 51 # 51 -  55, Alcaldía Itagui";"OCCIDENTE";"Medellin Sur";"VIP";"ITAGUI";"05 - 360";"Antioquia";416;"ITAGUI";"CALLE 50, NO 50-81";"3739666";"DIEBOLD";"DIEBOLD";"OPTEVA 520";"Canyon";"1520F3322696";"1,30E+11";"FRONTAL";"NIVEL 7";"Empresa";"PENDIENTE";"NOMINA";"SAT";"ALTA";"MEDIA";"SI";"23/10/2008";"23/10/2008";10;"N/A";"INDEPENDIENTE";"COBRE";"3G";"81.128.21.130";"81.128.21.129";"255.255.255.240";"SI APLICA";"TELEFONICA";"BK4";"4164";"N/A";"N/A";"PROSEGUR";"URBANO";"MEDELLIN";"NO";"DIEBOLD";"DIEBOLD";"LUNES A VIERNES";"40906";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";"Cargue Frontal";"N/A";NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"MARICELA LOAIZA ARANGO";"maricela.loaiza@bbva.com";"3174350637";"SANDRA DEL SOCORRO AGUDELO CANO";"sandra.agudelo@bbva.com";"3174388519";"ITAGU416.co@bbva.com";"25 al 30 del Mes";"L-V DE 08:00 A 17:00 FINES DE SEMANA NO";" L-V (07:30 -17:00)- Sábados hasta medio día";"N/A";"N/A";"CORREO BANCO";"N/A";"Lun - Sab";"07:30 - 17:00";"SI";"SIN ANTELACION";"Activo";NA;6,173181;-75,608822;20
